site_numbet,site_sql_id,site_name,LAT,LON,COMMENT,GAGETAG,Elevation,ElevationComment
03G,598,Springbrook Creek at Grady Way,47.46808,-122.234,LIMS site A317,Stream Gauge(Recording),6.38,NAVD88 = Gage datum + 6.38 feet
03G2,2135,Springbrook at Oaksdale Ave,47.46725,-122.233,,Stream Gauge(Recording),19.1,
03V,1979,Springbrook Rain Gage,47.46808,-122.234,Uses same logger as 03G,Precipitation Gauge(Recording),,
03u,72,Panther Creek Precip,47.41557,-122.2,snapped to GPS,Precipitation Gauge(Recording),,
04u,4,Boeing Creek Rain Gauge,47.74965,-122.36,,Precipitation Gauge(Recording),,
0512B_01,1046,Ballard Locks near end of Large Lock pier 1.0 m depth,47.6651,-122.394,,Thermistor Chain,,
0512B_02,789,Ballard Locks near end of Large Lock pier 2.0 m depth,,,,Thermistor Chain,,
0512B_03,1047,Ballard Locks near end of Large Lock pier 3.0 m depth,,,,Thermistor Chain,,
0512B_04,1048,Ballard Locks near end of Large Lock pier 4.0 m depth,,,,Thermistor Chain,,
0512B_05,790,Ballard Locks near end of Large Lock pier 5.0 m depth,,,,Thermistor Chain,,
0512B_06,1049,Ballard Locks near end of Large Lock pier 6.0 m depth,,,,Thermistor Chain,,
0512B_07,791,Ballard Locks near end of Large Lock pier 7.0 m depth,,,,Thermistor Chain,,
0512B_08,1050,Ballard Locks near end of Large Lock pier 8.0 m depth,,,,Thermistor Chain,,
0512B_09,792,Ballard Locks near end of Large Lock pier 9.0 m depth,,,,Thermistor Chain,,
0512B_10,793,Ballard Locks near end of Large Lock pier 10.0 m depth,,,,Thermistor Chain,,
0512B_11,794,Ballard Locks near end of Large Lock pier 11.0 m depth,,,,Thermistor Chain,,
0512B_13,795,Ballard Locks near end of Large Lock pier 13.0 m depth,,,,Thermistor Chain,,
0522B_01,1413,Lake Union 1 m depth,47.6331,-122.339,,Water Temperature Recorder,,
0522B_02,809,Lake Union 2 m depth,,,,Thermistor Chain,,
0522B_03,1051,Lake Union 3 m depth,,,,Thermistor Chain,,
0522B_04,810,Lake Union 4 m depth,,,,Thermistor Chain,,
0522B_05,1052,Lake Union 5 m depth,,,,Thermistor Chain,,
0522B_06,811,Lake Union 6 m depth,,,,Thermistor Chain,,
0522B_07,1053,Lake Union 7 m depth,,,,Thermistor Chain,,
0522B_08,812,Lake Union 8 m depth,,,,Thermistor Chain,,
0522B_09,1054,Lake Union 9 m depth,,,,Thermistor Chain,,
0522B_10,813,Lake Union 10 m depth,,,,Thermistor Chain,,
0522B_11,1055,Lake Union 11 m depth,,,,Thermistor Chain,,
0522B_12,814,Lake Union 12 m depth,,,,Thermistor Chain,,
0522B_13,1056,Lake Union 13 m depth,,,,Thermistor Chain,,
0522B_14,815,Lake Union 14 m depth,,,,Thermistor Chain,,
05A,340,Cherry Creek,47.7426,-121.941,Arc View est,Stream Gauge(Recording),57,from IMAP topo
05Un,1725,Cherry Creek Rain new,47.73945,-121.908,"Replaces gage 05U, 0.2 miles north",Precipitation Gauge(Recording),312,imap
05b,859,Cherry Creek trib EPA site,47.74102,-121.941,EPA grant study site. Ran for a while after study complete. Reactivated,Stream Gauge(Recording),70,imap
0852B_04,758,Lake Washington off of 520 Bridge on NW side 4.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_06,759,Lake Washington off of 520 Bridge on NW side 6.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_08,760,Lake Washington off of 520 Bridge on NW side 8.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_12,761,Lake Washington off of 520 Bridge on NW side 12.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_14,762,Lake Washington off of 520 Bridge on NW side 14.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_16,763,Lake Washington off of 520 Bridge on NW side 16.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_18,764,Lake Washington off of 520 Bridge on NW side 18.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_30,765,Lake Washington off of 520 Bridge on NW side 30.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0852B_45,1060,Lake Washington off of 520 Bridge on NW side 45.0 meter depth,47.64204,-122.269,,Thermistor Chain,,
0890E_02,766,Lake Washington off of I-90 Bridge approx. midlake 2.0 meter depth,47.5895,-122.273,,Thermistor Chain,,
0890E_04,767,Lake Washington off of I-90 Bridge approx. midlake 4.0 meter depth,,,,Thermistor Chain,,
0890E_06,768,Lake Washington off of I-90 Bridge approx. midlake 6.0 meter depth,,,,Thermistor Chain,,
0890E_08,769,Lake Washington off of I-90 Bridge approx. midlake 8.0 meter depth,,,,Thermistor Chain,,
0890E_10,770,Lake Washington off of I-90 Bridge approx. midlake 10.0 meter depth,,,,Thermistor Chain,,
0890E_12,771,Lake Washington off of I-90 Bridge approx. midlake 12.0 meter depth,,,,Thermistor Chain,,
0890E_14,772,Lake Washington off of I-90 Bridge approx. midlake 14.0 meter depth,,,,Thermistor Chain,,
0890E_15,773,Lake Washington off of I-90 Bridge approx. midlake 15.0 meter depth,,,,Thermistor Chain,,
0890E_16,774,Lake Washington off of I-90 Bridge approx. midlake 16.0 meter depth,,,,Thermistor Chain,,
0890E_18,775,Lake Washington off of I-90 Bridge approx. midlake 18.0 meter depth,,,,Thermistor Chain,,
0890E_20,776,Lake Washington off of I-90 Bridge approx. midlake 20.0 meter depth,,,,Thermistor Chain,,
0890E_25,777,Lake Washington off of I-90 Bridge approx. midlake 25.0 meter depth,,,,Thermistor Chain,,
0890E_30,778,Lake Washington off of I-90 Bridge approx. midlake 30.0 meter depth,,,,Thermistor Chain,,
0890E_35,779,Lake Washington off of I-90 Bridge approx. midlake 35.0 meter depth,,,,Thermistor Chain,,
0890E_45,1061,Lake Washington off of I-90 Bridge approx. midlake 45.0 meter depth,,,,Thermistor Chain,,
0890E_55,780,Lake Washington off of I-90 Bridge approx. midlake 55.0 meter depth,,,,Thermistor Chain,,
0890W_04,781,Lake Washington off of I-90 Bridge on SW side 4.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_06,782,Lake Washington off of I-90 Bridge on SW side 6.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_08,783,Lake Washington off of I-90 Bridge on SW side 8.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_12,784,Lake Washington off of I-90 Bridge on SW side 12.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_14,785,Lake Washington off of I-90 Bridge on SW side 14.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_16,786,Lake Washington off of I-90 Bridge on SW side 16.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_18,787,Lake Washington off of I-90 Bridge on SW side 18.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_30,788,Lake Washington off of I-90 Bridge on SW side 30.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
0890W_45,1062,Lake Washington off of I-90 Bridge on SW side 45.0 meter depth,47.58965,-122.28,,Thermistor Chain,,
09D_UP,1766,Ravensdale Creek (Lake Sawyer Inflow #3) UP,,,,Stream Gauge(Recording),,
09V,754,Covington Creek Rain Gauge below Lake Sawyer,47.3216,-122.041,Replacement for 09U,Precipitation Gauge(Recording),540,From King County iMap 5' Contours
09a,5,"Covington Creek near Mouth, Soos CR Watershed",47.31258,-122.108,,Stream Gauge(Recording),335,FT (NGVD88) - CLD from KC GIS Lidar
09b,6,Rock Creek at Lake Sawyer - Soos Creek Watershed,47.32261,-122.028,Restarted 2/3/2015,Stream Gauge(Recording),,
09d,8,Ravensdale Creek (Lake Sawyer Inflow #3),47.32636,-122.028,Restarted 2/3/2015,Stream Gauge(Recording),,
09f,1530,Lake Sawyer Level,47.32608,-122.029,,Stream Gauge(Recording),522,estimate from iMap
11b,11,Tyee Regional Pond - Des Moines Creek,47.42707,-122.306,Restarted for pond level 11/1/2008,Stream Gauge(Recording),264.44,"Top of well Based on as-built plans, invert diversion = 258.86, depth at invert & well tape down."
11c,12,Des Moines Creek above Tyee Regional Pond,47.4298,-122.305,snapped to GPS,Stream Gauge(Recording),,
11d,13,"Des Moines Creek below SR 509, Des Moines (near mouth)",47.40591,-122.328,snapped to GPS,Stream Gauge(Recording),17,FT (NGVD88) - CLD from KC GIS Lidar
11e,55,Des Moines Tributary 0379,47.42635,-122.309,Reinstalled 10/17/2008,Stream Gauge(Recording),,
11f,54,Des Moines Tributary 0377 at Tyee Weir,47.42461,-122.306,"restarted 11/1/2008, stage only",Stream Gauge(Recording),260,from iMap 20' contours
11g,56,NW Ponds Outlet Des Moines CR 0379,47.4271,-122.311,,Stream Gauge(Recording),,lat lon from google map 4/22/08 def
11h,57,Bow Lake,47.43714,-122.295,snapped to GPS,Stream Gauge(Recording),,
11i,1088,Tyee By-Pass - Des Moines Creek,47.42706,-122.307,in catch basin,Stream Gauge(Recording),272,from iMap 5' contours
11u,58,Des Moines Creek Rain Gauge,47.42708,-122.306,Located at top of Tyee Control Structure,Precipitation Gauge(Recording),,
14b,722,East Fork Issaquah Creek @ NE Birch,47.5323,-122.03,,Stream Gauge(Recording),,
14u,65,East Fork Issaquah Rain Gauge,47.5317,-121.987,,Precipitation Gauge(Recording),,
15W,1916,East Lake Sammamish at City Hall,47.60142,-122.037,,Precipitation Gauge(Recording),,
15c,80,Laughing Jacobs Creek at E Lake Sammamish Pkwy,47.56538,-122.052,snapped to GPS,Stream Gauge(Recording),52,FT (NGVD88) - CLD from KC GIS Lidar
15e,82,Hazel Wolf Wetland - 1510,47.60231,-122.001,,Stream Gauge(Recording),455,Gage surveyed
15h,1133,Ebright Creek,47.60843,-122.073,Sample site may not equate with gage site,Stream Gauge(Recording),45,imap
15i,1893,Zackuse Creek below W.Lk. Sammamish PKWY,47.61009,-122.066,moved from dwst loc (below E Lake Samm. Pkwy) on 2/8/2021,Stream Gauge(Recording),,
17B,1439,Gorsuch Creek,47.45368,-122.445,VA65 site,Stream Gauge(Recording),8,within tidal effect
18V2,1084,Redmond Ridge Rain,47.6794,-122.035,at pond ECW2-1,Precipitation Gauge(Recording),518,from iMap 5' contours
18Y,326,Mystic Lake Rain Gauge East,47.6279,-122.025,same as gauge ml3,Precipitation Gauge(Recording),,
18a,87,Evans Creek @ Union Hill Road,47.67507,-122.081,,Stream Gauge(Recording),52.4,"original USGS staff datum, NGVD 1029, tied into new site upstream"
19U,1042,Rain Gage at Residential NPDES monitoring site in Fall City; inlet to residential stormwater facility D92861 Twin Cedars,47.56529,-121.895,,Precipitation Gauge(Recording),,
21A,338,Griffin Creek,47.61632,-121.907,Arc View est,Stream Gauge(Recording),,
21B,1183,Griffin Creek @ E Griffin Creek Rd SE,47.60609,-121.886,Approximately 1.5 miles east of Hwy 203 on E Griffin Creek Road SE,Metro Lab Sample Site,,
22A,339,Harris Creek,47.6939,-121.901,Arc View est,Stream Gauge(Recording),,
22B,1181,Harris Creek @ Carnation Duvall Rd,47.67813,-121.907,Below Carnation Duvall Rd-upstream side,Metro Lab Sample Site,,
24v,23,East Fork Hylebos Rain Gauge,47.26284,-122.313,snapped to GPS,Precipitation Gauge(Recording),,
25A,596,Issaquah Creek at SE 56th ST,47.55218,-122.048,USGS Gage 12121600,Water Temperature Recorder,,
25J,2061,McDonald Creek at 219th,47.47772,-122.049,,Stream Gauge(Recording),311,
25T,1512,Issaquah Creek at Hatchery,47.52971,-122.039,Downstream right bank of ped bridge.,Water Temperature Recorder,102,iPhone GPS
25i,1188,Carey Creek at 287th,47.42289,-121.961,WRIA 8 project,Stream Gauge(Recording),528,imap
25v,29,McDonald Creek Rain Gauge - Issaquah Creek Watershed,47.47884,-122.06,,Precipitation Gauge(Recording),,
26a,31,Jenkins Creek near Mouth - Soos Creek Watershed,47.34039,-122.129,,Stream Gauge(Recording),314,FT (NGVD88) from KC GIS Lidar
26u,33,Jenkins Creek Rain Gauge - Soos Creek Watershed,47.35956,-122.068,,Precipitation Gauge(Recording),,
27V,2153,"Big Finn Hill Park Rain Gage, Kirkland",47.72368,-122.237,for City of Kirkland,Precipitation Gauge(Recording),,
27a,34,Juanita Creek at Mouth,47.70767,-122.215,snapped to GPS,Stream Gauge(Recording),26,FT (NGVD88) - CLD from KC GIS
27c,36,Juanita Creek Tributary 0235 above 100th AV NE,47.71533,-122.204,,Stream Gauge(Recording),,
27u,93,Juanita Creek Rain Gauge,47.73061,-122.171,snapped to GPS,Precipitation Gauge(Recording),,
28Y,727,"West Judd Creek Rain Gage, Vashon Island",47.43699,-122.499,"18900 West Vashon Highway, at SWD Transfer Station",Precipitation Gauge(Recording),,
28a,319,"Judd Creek, Vashon Island",47.4034,-122.469,,Stream Gauge(Recording),16,
30AN,1240,Little Bear @ NE 195th,47.7687,-122.157,,Stream Gauge(Recording),90,from iMap 5' contours
30C,699,"Little Bear Creek above tributary 0083, Snohomish County",47.7961,-122.144,"Little Bear Creek project (#423484) sampling site, LIMS locator AD478",Water Temperature Recorder,,
30D,738,Little Bear @ 51st,47.83259,-122.163,,Water Temperature Recorder,365,from topo map
30E,565,Little Bear Creek located on north side of bridgeoff Maltby Rd @ RM 5,47.81095,-122.159,Formerly LBR0495000,Water Temperature Recorder,,
31D3,1906,North Fork Madsen Creek at 162 Ave SE,47.45352,-122.126,SWS facility D90119,Stream Gauge(Recording),485,
31UN,342,Renton Roads Rain,47.48189,-122.174,Arc View est,Precipitation Gauge(Recording),,
31Y2,1039,Fairwood Rain Gage - 2009 site,47.44325,-122.144,"At Fire Dist 40 Station, approximately .33 miles SW of old 31Y",Precipitation Gauge(Recording),504,imap
31ab,1185,Cedar River at River Mile 1.46,,,,Metro Lab Sample Site,,
31c,97,Molasses Creek at Mouth,47.46665,-122.16,restarted 10/21/2014,Stream Gauge(Recording),,
31d,98,Madsen Creek above Sedimentation Pond,47.46248,-122.143,"1988 - 1998 total flow out of sed pond, 2000 on total flow into pond.",Stream Gauge(Recording),,
31d4,1980,Madsen Creek west trib,47.44867,-122.138,,Stream Gauge(Recording),410,
31d5,1981,Madsen Creek east trib,47.44876,-122.135,,Stream Gauge(Recording),420,
31h,102,Taylor Creek at Mouth,47.42072,-122.041,snapped to GPS,Stream Gauge(Recording),274,
31i,103,Taylor Creek above 236th AV SE,47.409,-122.025,approx 400 ft upst from old site,Stream Gauge(Recording),408,from imap
31q,865,Webster Creek,47.41643,-121.919,,Stream Gauge(Recording),830,
31w2,1261,Peterson Rain 2,47.42314,-122.085,"1,500 ft from 31w site.",Precipitation Gauge(Recording),493,imap
31z,321,Hobart Rain Gauge,47.41681,-121.943,Tina M. and Eric's yard near well shed 425-432-0466,Precipitation Gauge(Recording),880,
32D,1978,Green River at Reddington Turbidity,47.34559,-122.207,Turbidity and temperature for bioenergetics model.,Water Temperature Recorder,,
32u,114,Lower Green River Rain Gauge,47.31956,-122.18,snapped to GPS,Precipitation Gauge(Recording),,
33DN,2162,McSorley Creek at Saltwater State Park - New Site,47.37305,-122.323,for SWS project,Stream Gauge(Recording),,
34a,117,Lyon Creek near Mouth in Lake Forest Park,47.75293,-122.278,,Stream Gauge(Recording),,
35c,120,McAleer @ Mouth,47.75178,-122.281,snapped to GPS,Stream Gauge(Recording),,
35u,122,Brugger's Bog Raingauge,47.77198,-122.303,"Upgraded to 510 logger, air temp, and baro on 4/9/2012",Precipitation Gauge(Recording),,
36A,712,Mileta Creek,47.3883,-122.427,Formerly VA45. Continuous recorder since 1/27/2010,Stream Gauge(Recording),,
36U,728,"Maury Island Rain Gage, Vashon Island",47.39959,-122.434,"Kiro Radio tower property, on garage, 7500 SW PT Robinson RD",Precipitation Gauge(Recording),,
36V,733,"East Maury Island Rain, Vashon Island",47.3863,-122.376,Located south of southernmost building at Pt. Robinson.,Precipitation Gauge(Recording),,
37E,334,May Creek @ 164th Ave Bridge,47.50166,-122.122,BG est,Stream Gauge(Recording),,
37G,633,May Creek @ 148th Ave SE Bridge,47.51529,-122.143,GPSed 11/4/2002,Stream Gauge(Recording),,
37H,1035,May Creek at 143 Pl SE,47.51693,-122.15,"USGS site 12119375 MAY CREEK AT RENTON, WA",Stream Gauge(Recording),308,imap
37W,323,Upper May Creek Rain Gauge,47.50355,-122.09,moved on 9/28/2020,Precipitation Gauge(Recording),,"184448.8,1329107.5;47.49867,-122.09275 2015 site"
37X,1944,May Creek Mouth Rain Gage,47.5281,-122.203,,Precipitation Gauge(Recording),,
37a,123,May Creek @ Mouth,47.52993,-122.201,snapped to GPS,Stream Gauge(Recording),26,FT (NGVD88) - CLD from KC GIS Lidar
37b,124,May Creek at Coal Creek PKWY,47.51811,-122.159,snapped to GPS,Stream Gauge(Recording),,
37i,2031,May Creek trib at 116th St fishladder,47.49899,-122.127,,Stream Gauge(Recording),395,
37u,128,Lower May Creek Rain Gauge,47.51235,-122.149,Gage moved approx. 1 mile east Oct 2001. Previous location is 37UN.,Precipitation Gauge(Recording),,
38D,2040,Kelsey Creek West Fork @ Sound Transit Base,47.62859,-122.18,,Stream Gauge(Recording),,
38U,2094,"Snyders Corner Rain Gage, City of Kirkland",47.66603,-122.163,for City of Kirkland,Precipitation Gauge(Recording),,
38V,2041,Kelsey Creek West Fork Rain Gage,47.62859,-122.18,,Precipitation Gauge(Recording),,
39M,1175,Middle Fork Snoqualmie,47.51599,-121.769,,Metro Lab Sample Site,,
40d,133,Crisp Creek at Green River RD,47.28903,-122.067,,Stream Gauge(Recording),,
40u,134,Middle Green Rain Gauge,47.2607,-122.092,snapped to GPS,Precipitation Gauge(Recording),,
41R,1947,Auburn Drain at 86th,47.35771,-122.227,,Stream Gauge(Recording),,
41X,1942,Green River at West Valley and SR 512 Rain Gage,47.37647,-122.248,,Precipitation Gauge(Recording),,
41Y,1977,Auburn Rain Gage @ 42nd St,47.34518,-122.227,,Precipitation Gauge(Recording),,
41a,135,Mill Creek at SR 181,47.36763,-122.249,"Stream Gauge 11/1/88-9/1/96, 2003 - 2006. Temperature probe 9/29/99.",Stream Gauge(Recording),,
41u,141,Star Lake Rain Gauge,47.35259,-122.289,snapped to GPS,Precipitation Gauge(Recording),,
41v,142,Lake Dolloff Rain Gauge,47.32145,-122.292,snapped to GPS,Precipitation Gauge(Recording),,
42AA,1150,Miller Creek at treatment plant,47.44967,-122.347,,Stream Gauge(Recording),45,imap
42M,1219,Miller Creek blw Ambaum Blvd,47.45741,-122.334,,Stream Gauge(Recording),167,imap
42N,1241,Hwy 509 trib to Miller Creek,47.45709,-122.328,,Stream Gauge(Recording),202,imap
42R,870,Lake Reba culvert outlet,47.46855,-122.315,Data from Taylor Associates,Stream Gauge(Recording),275,from imap
42RR,1237,Lake Reba lake level,47.46859,-122.315,,Stream Gauge(Recording),275,imap
42a,143,Miller Creek near Mouth,47.44548,-122.352,Restarted December 2012 for water quality monitoring,Stream Gauge(Recording),20,FT (NGVD88) - CLD from KC GIS Lidar
42b,144,Miller Creek Detention Facility,47.46751,-122.318,,Stream Gauge(Recording),,
42e,147,"Walker Creek, 13th SW, in Normandy Park",47.44497,-122.35,moved from 47.44459 -122.35089,Stream Gauge(Recording),23,imap
42h,150,"Ambaum Outflow on Miller Creek, 1st Ave S. in Seat",47.45698,-122.334,Monitoring pond level 6/3/2013,Stream Gauge(Recording),,
42j,828,Miller Creek abv Hwy 509,47.45417,-122.325,,Stream Gauge(Recording),208,from imap
42k,829,Walker Creek blw Hwy 509,47.44656,-122.322,,Stream Gauge(Recording),247,from imap
42u,152,Lake Reba Rain Gauge,47.46666,-122.313,,Precipitation Gauge(Recording),,
43U,154,"North Vashon Rain Gauge, Vashon Island",47.48771,-122.47,,Precipitation Gauge(Recording),,
43a,153,"Shingle Mill Creek, Vashon Island",47.4783,-122.482,,Stream Gauge(Recording),,
44B,2146,Lower Newaukum Upper,47.29379,-122.067,,Groundwater Observation Well(Recording),,
44B_2,2147,Lower Newaukum Upper,47.29379,-122.067,,Groundwater Observation Well(Recording),,
44I_B16,1348,Big Spring Creek GW Well B16,47.21563,-122.022,For Big Spring Creek project,Groundwater Observation Well(Recording),644.54,surveyed
44a,1093,Newaukum USGS Gage,47.27407,-122.056,Tethered to lower USGS Staff Plate,Water Temperature Recorder,377,
44i-P2-1,1484,Big Spring Phase II Well 1,47.22155,-122.019,,Groundwater Observation Well(Recording),647.05,Survey
44i-P2-3,1485,Big Spring Phase II Well 3,47.22385,-122.017,,Groundwater Observation Well(Recording),649.74,survey
44i-P2-4,1487,Big Spring Phase II Well 4,47.22331,-122.018,,Groundwater Observation Well(Recording),647.71,Survey
44i-P2-5,1489,Big Spring Phase II Well 5,47.22315,-122.017,,Groundwater Observation Well(Recording),648.73,Survey
44i-P2-B6,1486,Big Spring Phase II Well B6,47.22339,-122.019,,Groundwater Observation Well(Recording),647.59,Survey
44j,1482,Big Spring Top Phase I,47.2209,-122.02,,Stream Gauge(Recording),650.51,"top PVC, B. Pendergast survey"
44k,1556,Big Spring - Carter ditch,47.21624,-122.022,surface water gauge in ditch at NW end of Carter Property,Stream Gauge(Recording),,"1,345,108.40215 81,172.53734 Foot"
44u,155,Enumclaw Rain Gauge,47.20724,-121.956,,Precipitation Gauge(Recording),838,from iMap 5'' contours
45A,569,North Creek located on west side of creek north of Hwy. 522 bridge,47.75722,-122.189,Formerly NCK0008000,Water Temperature Recorder,,
45B,568,North Creek located on north-west side underneath 185th St. bridge near Kennard Corner @ RM5,47.82034,-122.212,Formerly NCK0527000,Water Temperature Recorder,,
45C,2150,North Creek @ North Creek Parkway,47.77036,-122.186,,Stream Gauge(Recording),,
45Nc,689,"North Creek at County Line, Snohomish County gage",47.78036,-122.189,Data obtained from Snohomish County,Stream Gauge(Recording),,
46a,156,"Issaquah Creek, North Fork",47.54278,-122.034,snapped to GPS,Stream Gauge(Recording),77,FT (NGVD88) - CLD from KC GIS Lidar
47N,1174,North Fork Snoqualmie,47.52194,-121.77,Sample under bridge on right bank,Metro Lab Sample Site,,
48AN,1238,Patterson Creek Above 292nd Ave SE Bridge,47.5879,-121.954,Replaces 48A,Stream Gauge(Recording),95.85,Shot from top of well by survery crew tied to monument on new bridge.
48D,1179,Patterson Creek at Snoqualmie River Rd SE,47.59156,-121.927,,Metro Lab Sample Site,,
48Y,341,Patterson Creek Upper @ Nursery,47.63892,-122.008,GPSed,Precipitation Gauge(Recording),,
49A,1177,Raging River,47.56689,-121.883,Mouth of Raging River from right bank,Metro Lab Sample Site,,
50E,796,Mallard Lake Level,47.50979,-122.35,Lake level only. Restarted March 2017,Stream Gauge(Recording),360,from contour map
50L,690,"Hicklin Lake, nee Lake Hicks",47.5031,-122.346,"1/11/2019: moved baro data to 50U, removed data from Flow tables. DEF",Stream Gauge(Recording),360.26,top of mh cover over pump sump
50c,170,Lakewood Pumps,47.50309,-122.347,,Stream Gauge(Recording),,
50i,1724,NE White Center drainage pipe at SW108th x 8th AV SW,47.50664,-122.345,for Hicklin P loading project,Stream Gauge(Recording),,
50u,173,Salmon Creek Rain Gauge,47.502,-122.352,moved to current location 6/19/1998.,Precipitation Gauge(Recording),,
51CC,1172,Sammamish Lab Sample Site at 145th,47.7328,-122.146,"Sammamish River, NE 145th ST under bridge, north post (was SammR_06)",,,
51R,586,Sammamish River south side in middle support of lower Woodinville RR bridge (just above Little Bear Creek),47.75439,-122.169,Formerly SMR0545000,Water Temperature Recorder,,
51T,739,"Sammamish River at NE 116th ST, USGS gage 12125200 data before 2005",47.70302,-122.144,,Stream Gauge(Recording),26.9,NGVD 1929 USGS
51aa,1132,Sammamish at Mouth,,,,WQi,,
51m,180,Sammamish River @ Marymoor Weir--This gage subject to backwater effects from Bear Creek. Data flagged with a â€˜pâ€™ is provisional and has not been corrected.,47.65823,-122.117,,Stream Gauge(Recording),26.5,"3/7/2006 survey by L. Goulet,NAVD88 26.50 = 0.00 on staff plate"
51p,313,Sammamish River at West Park Entrance,47.66252,-122.125,need to calc Lat Lon and LLID,Water Temperature Recorder,,
51u,181,Norway Rain Gauge in Kenmore,47.738,-122.209,"snapped to GPS, moved 9/20/2019 to newer well maintained pond nearby",Precipitation Gauge(Recording),,
51w,183,Hollywood Hill Rain Gauge,47.72625,-122.124,Home owner is Colin Robinson. I don't have current email.,Precipitation Gauge(Recording),,
53G,2030,Mud Creek,47.56161,-121.857,,Stream Gauge(Recording),222,imap
53Sky,1180,Skykomish River,47.71145,-121.373,,Metro Lab Sample Site,,
53aa,1173,Snoqualmie River @ Taylor Landing,47.74524,-121.987,Rbank boat launch Taylor landing downstream of Duvall,Metro Lab Sample Site,,
53e,863,Weiss Creek,47.69186,-121.945,"restarted 8/30/2017, moved from 47.6925 -121.94537, 10/23/17 adj state p",Stream Gauge(Recording),68,imap
54J,1116,Soos Creek at Kent-Black Diamond RD,47.34353,-122.134,For WRIA 9 Retro project,Stream Gauge(Recording),310,from iMap 5 foot contours
54a,187,Soos Creek at Mouth,47.31251,-122.165,,Water Temperature Recorder,,
54h,191,Soosette Creek Above SR 18,47.3329,-122.156,,Stream Gauge(Recording),247,FT (NGVD88) - CLD from KC GIS Lidar
54i,192,Little Soos Creek at SE 272nd,47.35824,-122.125,,Stream Gauge(Recording),,
54v,193,Soos Creek Rain Gauge,47.37961,-122.143,,Precipitation Gauge(Recording),355,from iMap 5 foot contours
55A,1267,Clough Creek,47.47092,-121.786,,Stream Gauge(Recording),505,
55B,1268,Ribary Creek,47.48647,-121.796,,Stream Gauge(Recording),456,
55B2,1952,Ribary Creek at Bendingo Ave,47.49045,-121.793,,Stream Gauge(Recording),445.95,
55B3,1951,Ribary at RR bridge,47.49781,-121.793,,Stream Gauge(Recording),433.09,
55C,1269,Gardiner Creek,47.48856,-121.799,,Stream Gauge(Recording),465,
